round	text_id	DQQ0	DQQ1	DQQ2	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q0	annotator_id
round1	V1_10	1	4	4	3	0	0	0.0	0	3	4.0	3	3	21
round1	V2_10	1	4	3	2	3	4	3.0	3	2	3.0	3	3	21
round1	V3_10	1	4	3	2	2	2	3.0	4	3	2.0	2	3	21
round1	V4_10	1	4	4	2	4	4	4.0	4	4	3.0	2	2	21
round1	V5_10	1	4	3	2	4	1	4.0	1	4	4.0	2	3	21
round1	V1_11	1	4	4	3	0	0	0.0	0	3	3.0	2	4	21
round1	V2_11	1	4	4	3	3	3	3.0	3	4	3.0	1	3	21
round1	V3_11	1	3	3	3	4	1	3.0	4	2	3.0	1	2	21
round1	V4_11	1	4	3	3	4	4	4.0	3	4	4.0	2	3	21
round1	V5_11	1	4	3	3	4	4	4.0	4	4	4.0	2	2	21
round1	V1_12	1	4	4	4	0	0	0.0	0	2	3.0	1	3	21
round1	V2_12	1	3	3	2	3	4	3.0	3	2	3.0	1	3	21
round1	V3_12	1	4	4	2	3	3	3.0	4	1	1.0	3	3	21
round1	V4_12	1	4	3	2	4	4	4.0	2	4	4.0	2	3	21
round1	V5_12	1	2	4	3	2	3	3.0	4	3	4.0	3	2	21
round1	V1_13	1	4	4	3	0	0	0.0	0	4	3.0	2	3	21
round1	V2_13	1	4	4	2	4	4	3.0	3	3	2.0	3	3	21
round1	V3_13	1	3	3	2	3	4	3.0	3	3	3.0	2	3	21
round1	V4_13	1	4	3	2	4	4	3.0	3	4	4.0	2	4	21
round1	V5_13	1	4	3	3	4	4	4.0	4	4	4.0	0	4	21
round1	V1_14	1	3	4	3	0	0	0.0	0	3	3.0	1	3	21
round1	V2_14	1	3	3	2	4	4	3.0	4	3	3.0	2	3	21
round1	V3_14	1	4	3	2	4	4	4.0	4	3	2.0	2	2	21
round1	V4_14	1	4	4	3	4	4	4.0	4	4	4.0	2	4	21
round1	V5_14	1	4	4	3	4	1	2.0	1	4	4.0	2	2	21
round1	V1_15	1	4	4	4	0	0	0.0	0	2	3.0	2	3	1
round1	V2_15	1	3	3	3	4	4	4.0	4	3	3.0	2	3	1
round1	V3_15	1	3	3	3	3	4	3.0	3	2	3.0	2	2	1
round1	V4_15	1	4	4	4	4	4	3.0	3	4	4.0	2	3	1
round1	V5_15	1	4	4	3	3	4	4.0	4	3	3.0	2	3	1
round1	V1_16	1	4	4	3	0	0	0.0	0	3	3.0	2	3	1
round1	V2_16	1	4	4	3	4	4	4.0	4	3	3.0	2	4	1
round1	V3_16	1	4	4	4	4	4	4.0	4	4	3.0	2	4	1
round1	V4_16	1	4	4	3	3	1	3.0	1	3	3.0	2	3	1
round1	V5_16	1	4	4	4	4	2	3.0	4	3	3.0	2	3	1
round1	V1_17	1	3	4	4	0	0	0.0	0	3	4.0	1	2	1
round1	V2_17	1	3	4	4	4	4	4.0	3	4	4.0	2	4	1
round1	V3_17	1	4	4	3	3	4	4.0	4	4	4.0	2	4	1
round1	V4_17	1	4	3	4	4	4	4.0	4	4	4.0	2	4	1
round1	V5_17	1	4	3	3	4	4	1.0	1	1	4.0	2	2	1
