dialogue_system	text_id	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q0	annotator_id
2	65c5b4b9f174b2897703736a	3	4	4	3	3	4	2	2	3	22
0	65c5b90bf174b28977037378	0	4	0	0	0	3	3	2	4	22
1	65c5c73ef174b289770373a2	3	4	2	4	2	3	3	2	4	7
0	65c5cf8cf174b289770373b9	0	3	0	0	0	4	4	2	4	7
0	65c5d5f9f174b289770373d6	0	4	0	0	0	4	4	2	4	13
2	65c5eccaf174b289770373e4	4	4	4	4	4	4	3	2	3	2
2	65c5efbaf174b289770373e9	4	4	2	3	3	4	4	2	3	11
2	65c5f6c4f174b289770373f8	1	1	2	1	1	4	3	2	2	13
0	65c5f77ff174b289770373fa	0	4	0	0	0	4	4	2	2	11
0	65c5fc3bf174b2897703740b	0	3	1	0	0	3	3	2	3	16
1	65c5fd8df174b28977037412	3	3	3	3	4	4	4	2	3	16
1	65c5fe6cf174b28977037419	3	2	2	3	2	4	4	2	2	16
0	65c5ffe4f174b2897703741f	0	3	0	0	0	2	3	3	1	16
2	65c60093f174b28977037424	3	1	4	3	3	3	2	3	2	16
2	65c60166f174b2897703742d	3	3	3	3	3	3	3	3	2	16
1	65c60203f174b28977037433	2	3	3	3	3	2	3	3	2	16
1	65c60280f174b2897703743a	4	4	3	4	3	3	3	2	3	11
2	65c602a2f174b2897703743c	2	3	3	3	3	3	3	3	2	16
0	65c60309f174b28977037442	0	2	0	0	0	3	4	2	2	16
2	65c605e3f174b28977037447	3	1	3	3	2	4	4	2	3	13
2	65c609f1f174b28977037454	2	1	3	2	2	4	4	2	3	13
2	65c60f9af174b2897703745a	2	4	4	2	2	4	4	2	2	11
1	65c6133af174b2897703746a	2	1	3	2	2	4	4	2	2	13
0	65c61587f174b2897703746f	0	3	0	0	0	3	3	2	3	3
1	65c61b9bf174b28977037476	2	4	1	1	1	4	4	2	2	11
0	65c6213df174b2897703747f	0	4	0	0	0	4	4	2	4	2
1	65c622bff174b28977037486	3	3	3	3	4	3	3	2	3	2
1	65c6356ef174b28977037493	3	4	3	4	4	3	2	2	3	22
1	65c64d82f174b2897703749a	3	4	3	3	4	4	3	2	3	22
0	65c65992f174b289770374aa	0	4	0	0	0	3	3	2	3	22
1	65c666e9f174b289770374b3	3	3	3	4	4	4	3	2	4	22
2	65c68f93f174b289770374c1	1	3	3	4	1	2	3	2	3	3
1	65c6fffdf174b289770374cd	3	3	3	2	2	3	2	2	3	7
1	65c701b4f174b289770374d4	4	4	4	4	4	3	4	2	4	7
0	65c70385f174b289770374db	0	4	0	0	0	4	4	2	4	7
2	65c706f8f174b289770374e4	4	3	2	2	2	2	3	3	2	7
2	65c709e9f174b289770374ec	2	2	2	3	1	4	2	3	2	7
2	65c70e7df174b289770374f6	4	4	2	3	3	4	4	2	3	7
0	65c71597f174b289770374ff	0	3	0	0	0	4	1	2	2	3
2	65c71946f174b2897703750e	4	3	3	4	4	3	3	2	3	3
